Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,09/03/2022 05:18:10 pm,119976791,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.15002901686210293,7057458.294117647,1.589261734575012E7,5.4606775E7,521621.0,1.19976791E8,7057458.294117647,1.589261734575012E7,5.4606775E7,521621.0,0,0,0,0,0,0,0,0,0,0,0,0.15002901686210293,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6777088.0,5340720.949759498,1.0553548E7,3000628.0,3.4463488E7,2.5417498983379208E7,5.4606775E7,5905762.0,NeedManualLabel
192.168.111.1-192.168.111.255-57621-57621-17,192.168.111.1,57621,192.168.111.255,57621,17,09/03/2022 05:18:38 pm,119990188,5,0,220.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.8334832511471688,0.04167007388970838,2.9997547E7,20219.990191226905,3.0023024E7,2.9973561E7,1.19990188E8,2.9997547E7,20219.990191226905,3.0023024E7,2.9973561E7,0,0,0,0,0,0,0,0,0,40,0,0.04167007388970838,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.8,44.0,0.0,0,0,0,0,0,0,1,55,0,0,0,0,4,8,0,0,0,0,2.9997547E7,20219.990191226905,3.0023024E7,2.9973561E7,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,09/03/2022 05:20:10 pm,119457711,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.13393861196620452,7963847.4,2.467120793042571E7,9.6975973E7,565397.0,1.19457711E8,7963847.4,2.467120793042571E7,9.6975973E7,565397.0,0,0,0,0,0,0,0,0,0,0,0,0.13393861196620452,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6771630.5,5322838.926370072,1.0535446E7,3007815.0,5.14530495E7,6.437913581257288E7,9.6975973E7,5930126.0,NeedManualLabel
192.168.111.1-192.168.111.255-57621-57621-17,192.168.111.1,57621,192.168.111.255,57621,17,09/03/2022 05:21:08 pm,90061383,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9542227105262195,0.044414152511959536,3.0020461E7,127167.23524162975,3.0143624E7,2.9889636E7,9.0061383E7,3.0020461E7,127167.23524162975,3.0143624E7,2.9889636E7,0,0,0,0,0,0,0,0,0,32,0,0.044414152511959536,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,0.0,0,0,0,0,0,0,1,58,0,0,0,0,3,8,0,0,0,0,3.0020461E7,127167.23524162975,3.0143624E7,2.9889636E7,NeedManualLabel
192.168.111.1-224.0.0.251-5353-5353-17,192.168.111.1,5353,224.0.0.251,5353,17,09/03/2022 05:19:19 pm,119914673,2,0,90.0,0.0,45.0,45.0,45.0,0.0,0,0,0,0,0.7505336732227924,0.01667852607161761,1.19914673E8,0.0,1.19914673E8,1.19914673E8,1.19914673E8,1.19914673E8,0.0,1.19914673E8,1.19914673E8,0,0,0,0,0,0,0,0,0,16,0,0.01667852607161761,0.0,45.0,45.0,45.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,67.5,45.0,0.0,0,0,0,0,0,0,2,90,0,0,0,0,1,8,0,0,0,0,1.19914673E8,0.0,1.19914673E8,1.19914673E8,NeedManualLabel
192.168.111.1-239.255.255.250-56162-1900-17,192.168.111.1,56162,239.255.255.250,1900,17,09/03/2022 05:19:22 pm,119917332,2,0,250.0,0.0,125.0,125.0,125.0,0.0,0,0,0,0,2.0847695310632828,0.016678156248506264,1.19917332E8,0.0,1.19917332E8,1.19917332E8,1.19917332E8,1.19917332E8,0.0,1.19917332E8,1.19917332E8,0,0,0,0,0,0,0,0,0,16,0,0.016678156248506264,0.0,125.0,125.0,125.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,187.5,125.0,0.0,0,0,0,0,0,0,2,250,0,0,0,0,1,8,0,0,0,0,1.19917332E8,0.0,1.19917332E8,1.19917332E8,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,09/03/2022 05:22:10 pm,119453642,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.13394317437387132,7963576.133333332,2.480870412359067E7,9.7469284E7,528209.0,1.19453642E8,7963576.133333332,2.480870412359067E7,9.7469284E7,528209.0,0,0,0,0,0,0,0,0,0,0,0,0.13394317437387132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6521687.5,4943614.731192602,1.0017351E7,3026024.0,5.1701278E7,6.472573480797319E7,9.7469284E7,5933272.0,NeedManualLabel
192.168.111.1-192.168.111.255-57621-57621-17,192.168.111.1,57621,192.168.111.255,57621,17,09/03/2022 05:23:08 pm,90030458,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9548939759919917,0.04442940854527254,3.0010152666666668E7,13764.365780279648,3.0025278E7,2.9998362E7,9.0030458E7,3.0010152666666668E7,13764.365780279648,3.0025278E7,2.9998362E7,0,0,0,0,0,0,0,0,0,32,0,0.04442940854527254,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,0.0,0,0,0,0,0,0,1,58,0,0,0,0,3,8,0,0,0,0,3.0010152666666668E7,13764.365780279648,3.0025278E7,2.9998362E7,NeedManualLabel
192.168.111.129-91.189.89.198-49028-123-17,192.168.111.129,49028,91.189.89.198,123,17,09/03/2022 05:23:21 pm,81049,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,1184.468654764402,24.676430307591705,81049.0,0.0,81049.0,81049.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12.338215153795852,12.338215153795852,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.111.1-239.255.255.250-61033-1900-17,192.168.111.1,61033,239.255.255.250,1900,17,09/03/2022 05:21:53 pm,3283131,4,0,676.0,0.0,169.0,169.0,169.0,0.0,0,0,0,0,205.9010133923989,1.2183491916709994,1094377.0,136546.3868873871,1251991.0,1011925.0,3283131.0,1094377.0,136546.3868873871,1251991.0,1011925.0,0,0,0,0,0,0,0,0,0,32,0,1.2183491916709994,0.0,169.0,169.0,169.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,211.25,169.0,0.0,0,0,0,0,0,0,1,225,0,0,0,0,3,8,0,0,0,0,0,0,0,0,NeedManualLabel
